City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Natal,BR,80.6,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
304,Pizarro,CO,77.76,light rain,4.9533,-77.366,Hotel Limonar
307,Nkhata Bay,MW,76.89,light rain,-11.6066,34.2907,Mayoka Village
316,Mareeba,AU,86.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
324,Cidreira,BR,75.65,overcast clouds,-30.1811,-50.2056,Hotel Castelo
334,Namatanai,PG,85.84,light rain,-3.6667,152.4333,Namatanai Hotel
337,Charters Towers,AU,83.82,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
340,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
347,Port Hedland,AU,84.2,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
351,Itarema,BR,80.02,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
355,Faanui,PF,81.54,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
356,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
357,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
362,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
363,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
366,Talara,PE,75.43,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
372,Tutoia,BR,80.89,moderate rain,-2.7619,-42.2744,Pousada Guará's
375,Katiola,CI,80.29,clear sky,8.1333,-5.1,Kakoumani
376,Salinopolis,BR,79.2,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
380,Prainha,BR,76.68,overcast clouds,-1.8,-53.48,Casa Rocha
383,San Carlos Del Zulia,VE,77.97,clear sky,9.0,-71.9135,Hotel El Manantial
386,Roebourne,AU,83.12,scattered clouds,-20.7833,117.1333,Harding River Caravan Park
387,Ayorou,NE,77.32,clear sky,14.7308,0.9174,Hotel Amenokal
393,Poum,NC,80.37,clear sky,-20.2333,164.0167,Gîte kajeon
399,Kendari,ID,79.11,overcast clouds,-3.945,122.4989,Hotel Wixel
408,Kavieng,PG,84.25,light rain,-2.5744,150.7967,Nusa Island Retreat
423,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
425,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
426,Ciudad Bolivar,VE,79.86,few clouds,8.1222,-63.5497,Hotel Edi
433,Conceicao Do Araguaia,BR,76.44,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
439,Noumea,NC,87.01,few clouds,-22.2763,166.4572,Hôtel Le Lagon
441,Tha Rua,TH,78.01,clear sky,14.5634,100.7226,ริมบึงสวนพริกรีสอร์ท อยุธยา
448,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
450,Sungai Padi,TH,78.01,scattered clouds,6.0851,101.8766,237บอล&บาส
460,Moca,DO,77.0,few clouds,19.5,-70.5,"Rancho Pablo, La Cumbre, Espaillat"
463,Toowoomba,AU,82.4,overcast clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
476,Karaton,ID,80.01,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
481,Camocim,BR,79.36,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
482,Port Keats,AU,87.82,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
486,Cururupu,BR,76.66,broken clouds,-1.8283,-44.8683,Pousada Través'cia
491,Vao,NC,78.67,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
497,Samarai,PG,83.98,scattered clouds,-10.6167,150.6667,Nuli Sapi
500,Mackay,AU,84.99,overcast clouds,-21.15,149.2,International Lodge Motel
503,Sarangani,PH,83.5,overcast clouds,5.4033,125.4636,Ballistic Islet
504,Papara,BR,82.4,scattered clouds,-3.9839,-38.7273,Romin
505,Ternate,ID,83.59,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
511,Sibolga,ID,78.93,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
523,Lodwar,KE,83.71,overcast clouds,3.1191,35.5973,Turkwel Lodge
525,Manaus,BR,78.8,scattered clouds,-3.1019,-60.025,Hotel do Largo
529,Marawi,PH,81.0,few clouds,7.9986,124.2928,Derogongan Residence
530,Santa Fe,AR,78.01,clear sky,-31.6333,-60.7,Conquistador Hotel
534,Methven,NZ,75.0,scattered clouds,-43.6333,171.65,Brinkley Resort
543,Pitimbu,BR,75.2,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
